country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017
ISR,Israel,Mitzpe Ramon,WKS0065678,7.0,30.6300,34.8150,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,13.38,12.97,12.56,12.90,12.87,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
ISR,Israel,Mivtahim,WKS0062487,10.0,31.2240,34.4010,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,17.04,17.45,17.60,17.76,17.34,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
ISR,Israel,Mount Gilboa,WRI1061482,21.0,32.4664,35.4256,Wind,,,,2017.0,Israel Electric corporation,Ynet News,https://www.ynetnews.com/articles/0 7340 L-4702563 00.html,WRI,1062009,,,,,,,,,,,,,,49.53,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ISR,Israel,Nahal Oz,WKS0065677,6.0,31.4690,34.4930,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,13.66,13.63,13.44,13.54,13.64,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
ISR,Israel,Neot Semadar Solar Power Plant,WRI1026457,7.9,30.0492,35.0470,Solar,,,,2014.0,Belectric GmbH,Belectric,http://www.belectric.com/en/solar-power-plants/projects/,WRI,,,,,,,,,,,,,16.25,15.67,15.58,NO-ESTIMATION,NO-ESTIMATION,SOLAR-V1,SOLAR-V1,SOLAR-V1
ISR,Israel,Nesher Ramla,WRI1061490,220.0,31.9138,34.8912,Gas,,,,2015.0,Nesher Israel Cement Enterprises,Aviram Architects,http://aviram-arc.com/en/portfolio/nesher-cement-plant-power-station-ramla/,WRI,,,,,,,,,,,,,,,1398.51,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ISR,Israel,Nevatim,WKS0061152,18.0,31.2240,34.8680,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,38.03,38.09,38.32,37.92,38.31,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
ISR,Israel,Nevatim 3,WKS0069891,18.0,31.2250,34.8650,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,38.16,38.09,38.32,37.99,38.31,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
ISR,Israel,Orot Rabin,WRI1008361,2590.0,32.4700,34.8880,Coal,,,,,Israel Electric corporation,Israel Electric Corporation,https://www.iec.co.il/en/ir/documents/stat2010.pdf,GEODB,1019862,,,,,,,,,,,,,,11668.74,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ISR,Israel,Ramat Hovav,WRI1008364,1067.0,31.1536,34.8146,Gas,,,,,Israel Electric corporation,Israel Electric Corporation,https://web.archive.org/web/20131204104927/http:/www.israel-electric.co.il/bin/ibp.jsp?ibpDispWhat=zone&ibpDisplay=view&ibpPage=ENGProjects&ibpDispWho=Tzafit&ibpZone=Tzafit&,GEODB,1019864,,,,,,,,,,,,,,6782.78,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ISR,Israel,Ramat Hovav Solar Power Plant,WRI1026458,37.5,31.1450,34.7553,Solar,,,,2014.0,Energix Renewable Energies Limited,Energix,http://www.energix-group.com/Energix-Neot-Hovav/,WRI,,,,,,,,,,,,,83.49,83.03,83.27,NO-ESTIMATION,NO-ESTIMATION,SOLAR-V1,SOLAR-V1,SOLAR-V1
ISR,Israel,Ramat Negev Energy,WRI1061489,120.0,31.1498,34.7895,Gas,,,,2015.0,Edeltech,Edeltech,http://www.edeltech.co.il/en/?page_id=76,WRI,1069522,,,,,,,,,,,,,,762.82,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
